Value,Correlation,Variable,Reference,Comparison
Salary Non-union,0.5594,EECLASS,hypertension,depression
Salary Union,0.5109,EECLASS,hypertension,depression
Salary Other,0.746,EECLASS,hypertension,depression
Hourly Non-union,0.7348,EECLASS,hypertension,depression
Hourly Union,0.76,EECLASS,hypertension,depression
Hourly Other,0.6698,EECLASS,hypertension,depression
Non-union,0.6117,EECLASS,hypertension,depression
Union,0.7949,EECLASS,hypertension,depression
Unknown,0.7681,EECLASS,hypertension,depression
Active Full Time,-0.2548,EESTATU,hypertension,depression
Active Part Time or Seasonal,0.7282,EESTATU,hypertension,depression
Early Retiree,0.6259,EESTATU,hypertension,depression
Medicare Eligible Retiree,0.7304,EESTATU,hypertension,depression
Retiree (status unknown),0.6527,EESTATU,hypertension,depression
COBRA Continuee,0.2888,EESTATU,hypertension,depression
Long Term Disability,0.3094,EESTATU,hypertension,depression
Surviving Spouse/Depend.,0.7287,EESTATU,hypertension,depression
Other/Unknown,0.5426,EESTATU,hypertension,depression
"Oil & Gas Extraction, Mining",0.5589,INDSTRY,hypertension,regional_enteritis
"Manufacturing, Durable Goods",0.4429,INDSTRY,hypertension,regional_enteritis
"Manufacturing, Nondurable Goods",0.5502,INDSTRY,hypertension,regional_enteritis
"Transportation, Communications, Utilities",0.7391,INDSTRY,hypertension,regional_enteritis
Retail Trade,0.5911,INDSTRY,hypertension,regional_enteritis
"Finance, Insurance, Real Estate",0.6287,INDSTRY,hypertension,regional_enteritis
Services,0.552,INDSTRY,hypertension,regional_enteritis
Wholesale,0.251,INDSTRY,hypertension,regional_enteritis
"Agriculture, Forestry, Fishing",NA,INDSTRY,hypertension,regional_enteritis
Construction,0.3953,INDSTRY,hypertension,regional_enteritis
Salary Non-union,0.4147,EECLASS,hypertension,regional_enteritis
Salary Union,0.4793,EECLASS,hypertension,regional_enteritis
Salary Other,0.7068,EECLASS,hypertension,regional_enteritis
Hourly Non-union,0.3866,EECLASS,hypertension,regional_enteritis
Hourly Union,0.6285,EECLASS,hypertension,regional_enteritis
Hourly Other,0.4424,EECLASS,hypertension,regional_enteritis
Non-union,0.4692,EECLASS,hypertension,regional_enteritis
Union,0.601,EECLASS,hypertension,regional_enteritis
Unknown,0.5082,EECLASS,hypertension,regional_enteritis
Active Full Time,-0.0568,EESTATU,hypertension,regional_enteritis
Active Part Time or Seasonal,0.133,EESTATU,hypertension,regional_enteritis
Early Retiree,0.4051,EESTATU,hypertension,regional_enteritis
Medicare Eligible Retiree,0.2894,EESTATU,hypertension,regional_enteritis
Retiree (status unknown),0.2769,EESTATU,hypertension,regional_enteritis
COBRA Continuee,0.3009,EESTATU,hypertension,regional_enteritis
Long Term Disability,0.2134,EESTATU,hypertension,regional_enteritis
Surviving Spouse/Depend.,0.5179,EESTATU,hypertension,regional_enteritis
Other/Unknown,0.4131,EESTATU,hypertension,regional_enteritis
"Oil & Gas Extraction, Mining",0.5219,INDSTRY,hypertension,alcohol_dependence
"Manufacturing, Durable Goods",0.5522,INDSTRY,hypertension,alcohol_dependence
"Manufacturing, Nondurable Goods",0.6827,INDSTRY,hypertension,alcohol_dependence
"Transportation, Communications, Utilities",0.3355,INDSTRY,hypertension,alcohol_dependence
Retail Trade,0.7082,INDSTRY,hypertension,alcohol_dependence
"Finance, Insurance, Real Estate",0.5559,INDSTRY,hypertension,alcohol_dependence
Services,0.4389,INDSTRY,hypertension,alcohol_dependence
Wholesale,0.3416,INDSTRY,hypertension,alcohol_dependence
"Agriculture, Forestry, Fishing",1,INDSTRY,hypertension,alcohol_dependence
Construction,0.4691,INDSTRY,hypertension,alcohol_dependence
Salary Non-union,0.4822,EECLASS,hypertension,alcohol_dependence
Salary Union,0.4906,EECLASS,hypertension,alcohol_dependence
Salary Other,0.4479,EECLASS,hypertension,alcohol_dependence
Hourly Non-union,0.4055,EECLASS,hypertension,alcohol_dependence
Hourly Union,0.6094,EECLASS,hypertension,alcohol_dependence
Hourly Other,0.4501,EECLASS,hypertension,alcohol_dependence
Non-union,0.5369,EECLASS,hypertension,alcohol_dependence
Union,0.5331,EECLASS,hypertension,alcohol_dependence
Unknown,0.6447,EECLASS,hypertension,alcohol_dependence
Active Full Time,-0.3776,EESTATU,hypertension,alcohol_dependence
Active Part Time or Seasonal,0.4395,EESTATU,hypertension,alcohol_dependence
Early Retiree,0.5664,EESTATU,hypertension,alcohol_dependence
Medicare Eligible Retiree,0.4642,EESTATU,hypertension,alcohol_dependence
Retiree (status unknown),0.548,EESTATU,hypertension,alcohol_dependence
COBRA Continuee,0.3936,EESTATU,hypertension,alcohol_dependence
Long Term Disability,0.1522,EESTATU,hypertension,alcohol_dependence
Surviving Spouse/Depend.,0.2697,EESTATU,hypertension,alcohol_dependence
Other/Unknown,0.3895,EESTATU,hypertension,alcohol_dependence
"Oil & Gas Extraction, Mining",0.7123,INDSTRY,hypertension,anxiety
"Manufacturing, Durable Goods",0.8301,INDSTRY,hypertension,anxiety
"Manufacturing, Nondurable Goods",0.6917,INDSTRY,hypertension,anxiety
"Transportation, Communications, Utilities",0.5902,INDSTRY,hypertension,anxiety
Retail Trade,0.6579,INDSTRY,hypertension,anxiety
"Finance, Insurance, Real Estate",0.6585,INDSTRY,hypertension,anxiety
Services,0.6541,INDSTRY,hypertension,anxiety
Wholesale,0.4492,INDSTRY,hypertension,anxiety
"Agriculture, Forestry, Fishing",NA,INDSTRY,hypertension,anxiety
Construction,0.4456,INDSTRY,hypertension,anxiety
Salary Non-union,0.5863,EECLASS,hypertension,anxiety
Salary Union,0.5007,EECLASS,hypertension,anxiety
Salary Other,0.6537,EECLASS,hypertension,anxiety
Hourly Non-union,0.629,EECLASS,hypertension,anxiety
Hourly Union,0.7344,EECLASS,hypertension,anxiety
Hourly Other,0.7409,EECLASS,hypertension,anxiety
Non-union,0.687,EECLASS,hypertension,anxiety
Union,0.6422,EECLASS,hypertension,anxiety
Unknown,0.7219,EECLASS,hypertension,anxiety
Active Full Time,-0.1144,EESTATU,hypertension,anxiety
Active Part Time or Seasonal,0.5498,EESTATU,hypertension,anxiety
Early Retiree,0.6264,EESTATU,hypertension,anxiety
Medicare Eligible Retiree,0.776,EESTATU,hypertension,anxiety
Retiree (status unknown),0.4527,EESTATU,hypertension,anxiety
COBRA Continuee,0.3968,EESTATU,hypertension,anxiety
Long Term Disability,0.3189,EESTATU,hypertension,anxiety
Surviving Spouse/Depend.,0.6401,EESTATU,hypertension,anxiety
Other/Unknown,0.3798,EESTATU,hypertension,anxiety
"Oil & Gas Extraction, Mining",0.5434,INDSTRY,hypertension,bipolar
"Manufacturing, Durable Goods",0.6815,INDSTRY,hypertension,bipolar
"Manufacturing, Nondurable Goods",0.6579,INDSTRY,hypertension,bipolar
"Transportation, Communications, Utilities",0.6033,INDSTRY,hypertension,bipolar
Retail Trade,0.565,INDSTRY,hypertension,bipolar
"Finance, Insurance, Real Estate",0.6819,INDSTRY,hypertension,bipolar
Services,0.6839,INDSTRY,hypertension,bipolar
Wholesale,0.4054,INDSTRY,hypertension,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,hypertension,bipolar
Construction,0.2514,INDSTRY,hypertension,bipolar
Salary Non-union,0.6348,EECLASS,hypertension,bipolar
Salary Union,0.4588,EECLASS,hypertension,bipolar
Salary Other,0.4057,EECLASS,hypertension,bipolar
Hourly Non-union,0.5653,EECLASS,hypertension,bipolar
Hourly Union,0.7769,EECLASS,hypertension,bipolar
Hourly Other,0.5664,EECLASS,hypertension,bipolar
Non-union,0.5422,EECLASS,hypertension,bipolar
Union,0.6102,EECLASS,hypertension,bipolar
Unknown,0.578,EECLASS,hypertension,bipolar
Active Full Time,-0.35,EESTATU,hypertension,bipolar
Active Part Time or Seasonal,0.224,EESTATU,hypertension,bipolar
Early Retiree,0.6992,EESTATU,hypertension,bipolar
Medicare Eligible Retiree,0.5879,EESTATU,hypertension,bipolar
Retiree (status unknown),0.4789,EESTATU,hypertension,bipolar
COBRA Continuee,0.3615,EESTATU,hypertension,bipolar
Long Term Disability,0.331,EESTATU,hypertension,bipolar
Surviving Spouse/Depend.,0.6126,EESTATU,hypertension,bipolar
Other/Unknown,0.3048,EESTATU,hypertension,bipolar
"Oil & Gas Extraction, Mining",0.8475,INDSTRY,hypertension,diabetes
"Manufacturing, Durable Goods",0.9641,INDSTRY,hypertension,diabetes
"Manufacturing, Nondurable Goods",0.886,INDSTRY,hypertension,diabetes
"Transportation, Communications, Utilities",0.9058,INDSTRY,hypertension,diabetes
Retail Trade,0.728,INDSTRY,hypertension,diabetes
"Finance, Insurance, Real Estate",0.8485,INDSTRY,hypertension,diabetes
Services,0.9436,INDSTRY,hypertension,diabetes
Wholesale,0.527,INDSTRY,hypertension,diabetes
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,hypertension,diabetes
Construction,0.5765,INDSTRY,hypertension,diabetes
Salary Non-union,0.7919,EECLASS,hypertension,diabetes
Salary Union,0.6759,EECLASS,hypertension,diabetes
Salary Other,0.8375,EECLASS,hypertension,diabetes
Hourly Non-union,0.9024,EECLASS,hypertension,diabetes
Hourly Union,0.9595,EECLASS,hypertension,diabetes
Hourly Other,0.8341,EECLASS,hypertension,diabetes
Non-union,0.8259,EECLASS,hypertension,diabetes
Union,0.9083,EECLASS,hypertension,diabetes
Unknown,0.9142,EECLASS,hypertension,diabetes
Active Full Time,0.7485,EESTATU,hypertension,diabetes
Active Part Time or Seasonal,0.435,EESTATU,hypertension,diabetes
Early Retiree,0.9231,EESTATU,hypertension,diabetes
Medicare Eligible Retiree,0.8343,EESTATU,hypertension,diabetes
Retiree (status unknown),0.8939,EESTATU,hypertension,diabetes
COBRA Continuee,0.6107,EESTATU,hypertension,diabetes
Long Term Disability,0.5916,EESTATU,hypertension,diabetes
Surviving Spouse/Depend.,0.6969,EESTATU,hypertension,diabetes
Other/Unknown,0.7045,EESTATU,hypertension,diabetes
"Oil & Gas Extraction, Mining",0.8311,INDSTRY,hypertension,drug_dependence
"Manufacturing, Durable Goods",0.8686,INDSTRY,hypertension,drug_dependence
"Manufacturing, Nondurable Goods",0.8096,INDSTRY,hypertension,drug_dependence
"Transportation, Communications, Utilities",0.7003,INDSTRY,hypertension,drug_dependence
Retail Trade,0.8221,INDSTRY,hypertension,drug_dependence
"Finance, Insurance, Real Estate",0.7748,INDSTRY,hypertension,drug_dependence
Services,0.802,INDSTRY,hypertension,drug_dependence
Wholesale,0.4648,INDSTRY,hypertension,drug_dependence
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,hypertension,drug_dependence
Construction,0.6244,INDSTRY,hypertension,drug_dependence
Salary Non-union,0.5971,EECLASS,hypertension,drug_dependence
Salary Union,0.7146,EECLASS,hypertension,drug_dependence
Salary Other,0.7185,EECLASS,hypertension,drug_dependence
Hourly Non-union,0.6959,EECLASS,hypertension,drug_dependence
Hourly Union,0.892,EECLASS,hypertension,drug_dependence
Hourly Other,0.6786,EECLASS,hypertension,drug_dependence
Non-union,0.7792,EECLASS,hypertension,drug_dependence
Union,0.7478,EECLASS,hypertension,drug_dependence
Unknown,0.8339,EECLASS,hypertension,drug_dependence
Active Full Time,-0.1687,EESTATU,hypertension,drug_dependence
Active Part Time or Seasonal,0.6573,EESTATU,hypertension,drug_dependence
Early Retiree,0.8954,EESTATU,hypertension,drug_dependence
Medicare Eligible Retiree,0.7134,EESTATU,hypertension,drug_dependence
Retiree (status unknown),0.7137,EESTATU,hypertension,drug_dependence
COBRA Continuee,0.4343,EESTATU,hypertension,drug_dependence
Long Term Disability,0.3573,EESTATU,hypertension,drug_dependence
Surviving Spouse/Depend.,0.6478,EESTATU,hypertension,drug_dependence
Other/Unknown,0.5804,EESTATU,hypertension,drug_dependence
"Oil & Gas Extraction, Mining",0.8166,INDSTRY,hypertension,lipid_metabolism
"Manufacturing, Durable Goods",0.9082,INDSTRY,hypertension,lipid_metabolism
"Manufacturing, Nondurable Goods",0.854,INDSTRY,hypertension,lipid_metabolism
"Transportation, Communications, Utilities",0.8343,INDSTRY,hypertension,lipid_metabolism
Retail Trade,0.8215,INDSTRY,hypertension,lipid_metabolism
"Finance, Insurance, Real Estate",0.8525,INDSTRY,hypertension,lipid_metabolism
Services,0.9086,INDSTRY,hypertension,lipid_metabolism
Wholesale,0.4042,INDSTRY,hypertension,lipid_metabolism
"Agriculture, Forestry, Fishing",1,INDSTRY,hypertension,lipid_metabolism
Construction,0.7153,INDSTRY,hypertension,lipid_metabolism
Salary Non-union,0.7523,EECLASS,hypertension,lipid_metabolism
Salary Union,0.6889,EECLASS,hypertension,lipid_metabolism
Salary Other,0.7938,EECLASS,hypertension,lipid_metabolism
Hourly Non-union,0.6992,EECLASS,hypertension,lipid_metabolism
Hourly Union,0.931,EECLASS,hypertension,lipid_metabolism
Hourly Other,0.6919,EECLASS,hypertension,lipid_metabolism
Non-union,0.8541,EECLASS,hypertension,lipid_metabolism
Union,0.7737,EECLASS,hypertension,lipid_metabolism
Unknown,0.8718,EECLASS,hypertension,lipid_metabolism
Active Full Time,0.2484,EESTATU,hypertension,lipid_metabolism
Active Part Time or Seasonal,0.6991,EESTATU,hypertension,lipid_metabolism
Early Retiree,0.8532,EESTATU,hypertension,lipid_metabolism
Medicare Eligible Retiree,0.8157,EESTATU,hypertension,lipid_metabolism
Retiree (status unknown),0.7081,EESTATU,hypertension,lipid_metabolism
COBRA Continuee,0.6325,EESTATU,hypertension,lipid_metabolism
Long Term Disability,0.4149,EESTATU,hypertension,lipid_metabolism
Surviving Spouse/Depend.,0.8144,EESTATU,hypertension,lipid_metabolism
Other/Unknown,0.5939,EESTATU,hypertension,lipid_metabolism
"Oil & Gas Extraction, Mining",0.5778,INDSTRY,hypertension,obesity
"Manufacturing, Durable Goods",0.8372,INDSTRY,hypertension,obesity
"Manufacturing, Nondurable Goods",0.877,INDSTRY,hypertension,obesity
"Transportation, Communications, Utilities",0.7613,INDSTRY,hypertension,obesity
Retail Trade,0.7471,INDSTRY,hypertension,obesity
"Finance, Insurance, Real Estate",0.7664,INDSTRY,hypertension,obesity
Services,0.8688,INDSTRY,hypertension,obesity
Wholesale,0.5968,INDSTRY,hypertension,obesity
"Agriculture, Forestry, Fishing",1,INDSTRY,hypertension,obesity
Construction,0.6984,INDSTRY,hypertension,obesity
Salary Non-union,0.6129,EECLASS,hypertension,obesity
Salary Union,0.558,EECLASS,hypertension,obesity
Salary Other,0.7998,EECLASS,hypertension,obesity
Hourly Non-union,0.7814,EECLASS,hypertension,obesity
Hourly Union,0.8099,EECLASS,hypertension,obesity
Hourly Other,0.6873,EECLASS,hypertension,obesity
Non-union,0.775,EECLASS,hypertension,obesity
Union,0.7438,EECLASS,hypertension,obesity
Unknown,0.79,EECLASS,hypertension,obesity
Active Full Time,0.2487,EESTATU,hypertension,obesity
Active Part Time or Seasonal,0.5449,EESTATU,hypertension,obesity
Early Retiree,0.8449,EESTATU,hypertension,obesity
Medicare Eligible Retiree,0.8015,EESTATU,hypertension,obesity
Retiree (status unknown),0.6201,EESTATU,hypertension,obesity
COBRA Continuee,0.5332,EESTATU,hypertension,obesity
Long Term Disability,0.4057,EESTATU,hypertension,obesity
Surviving Spouse/Depend.,0.8215,EESTATU,hypertension,obesity
Other/Unknown,0.5722,EESTATU,hypertension,obesity
"Oil & Gas Extraction, Mining",0.3962,INDSTRY,hypertension,schizophrenia
"Manufacturing, Durable Goods",0.6062,INDSTRY,hypertension,schizophrenia
"Manufacturing, Nondurable Goods",0.4599,INDSTRY,hypertension,schizophrenia
"Transportation, Communications, Utilities",0.5586,INDSTRY,hypertension,schizophrenia
Retail Trade,0.2438,INDSTRY,hypertension,schizophrenia
"Finance, Insurance, Real Estate",0.4731,INDSTRY,hypertension,schizophrenia
Services,0.2778,INDSTRY,hypertension,schizophrenia
Wholesale,-0.1151,INDSTRY,hypertension,schizophrenia
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,hypertension,schizophrenia
Construction,0.3542,INDSTRY,hypertension,schizophrenia
Salary Non-union,0.43120000000000003,EECLASS,hypertension,schizophrenia
Salary Union,0.4454,EECLASS,hypertension,schizophrenia
Salary Other,0.338,EECLASS,hypertension,schizophrenia
Hourly Non-union,0.2876,EECLASS,hypertension,schizophrenia
Hourly Union,0.5888,EECLASS,hypertension,schizophrenia
Hourly Other,0.2555,EECLASS,hypertension,schizophrenia
Non-union,0.36,EECLASS,hypertension,schizophrenia
Union,0.5925,EECLASS,hypertension,schizophrenia
Unknown,0.4878,EECLASS,hypertension,schizophrenia
Active Full Time,-0.0883,EESTATU,hypertension,schizophrenia
Active Part Time or Seasonal,0.2981,EESTATU,hypertension,schizophrenia
Early Retiree,0.5651,EESTATU,hypertension,schizophrenia
Medicare Eligible Retiree,0.4484,EESTATU,hypertension,schizophrenia
Retiree (status unknown),0.295,EESTATU,hypertension,schizophrenia
COBRA Continuee,0.1464,EESTATU,hypertension,schizophrenia
Long Term Disability,0.1425,EESTATU,hypertension,schizophrenia
Surviving Spouse/Depend.,0.4715,EESTATU,hypertension,schizophrenia
Other/Unknown,0.3078,EESTATU,hypertension,schizophrenia
"Oil & Gas Extraction, Mining",0.349,INDSTRY,hypertension,suicide
"Manufacturing, Durable Goods",0.2512,INDSTRY,hypertension,suicide
"Manufacturing, Nondurable Goods",0.3572,INDSTRY,hypertension,suicide
"Transportation, Communications, Utilities",0.2233,INDSTRY,hypertension,suicide
Retail Trade,0.0652,INDSTRY,hypertension,suicide
"Finance, Insurance, Real Estate",0.2473,INDSTRY,hypertension,suicide
Services,0.6403,INDSTRY,hypertension,suicide
Wholesale,0.1311,INDSTRY,hypertension,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,hypertension,suicide
Construction,0.27,INDSTRY,hypertension,suicide
Salary Non-union,0.2224,EECLASS,hypertension,suicide
Salary Union,0.2234,EECLASS,hypertension,suicide
Salary Other,0.3761,EECLASS,hypertension,suicide
Hourly Non-union,0.0655,EECLASS,hypertension,suicide
Hourly Union,0.6133,EECLASS,hypertension,suicide
Hourly Other,0.1677,EECLASS,hypertension,suicide
Non-union,0.3421,EECLASS,hypertension,suicide
Union,0.233,EECLASS,hypertension,suicide
Unknown,0.4392,EECLASS,hypertension,suicide
Active Full Time,0.3014,EESTATU,hypertension,suicide
Active Part Time or Seasonal,0.1181,EESTATU,hypertension,suicide
Early Retiree,0.0996,EESTATU,hypertension,suicide
Medicare Eligible Retiree,0.2337,EESTATU,hypertension,suicide
Retiree (status unknown),0.3328,EESTATU,hypertension,suicide
COBRA Continuee,-0.053,EESTATU,hypertension,suicide
Long Term Disability,-0.0496,EESTATU,hypertension,suicide
Surviving Spouse/Depend.,0.189,EESTATU,hypertension,suicide
Other/Unknown,0.2955,EESTATU,hypertension,suicide
"Manufacturing, Durable Goods",0.7161,INDSTRY,lipid_metabolism,depression
"Manufacturing, Nondurable Goods",0.8341,INDSTRY,lipid_metabolism,depression
"Transportation, Communications, Utilities",0.6844,INDSTRY,lipid_metabolism,depression
Retail Trade,0.6329,INDSTRY,lipid_metabolism,depression
"Finance, Insurance, Real Estate",0.7067,INDSTRY,lipid_metabolism,depression
Services,0.7883,INDSTRY,lipid_metabolism,depression
Construction,0.4109,INDSTRY,lipid_metabolism,depression
Wholesale,0.1956,INDSTRY,lipid_metabolism,depression
"Oil & Gas Extraction, Mining",0.6803,INDSTRY,lipid_metabolism,depression
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,lipid_metabolism,depression
Salary Non-union,0.5311,EECLASS,lipid_metabolism,depression
Salary Union,0.5311,EECLASS,lipid_metabolism,depression
Salary Other,0.852,EECLASS,lipid_metabolism,depression
Hourly Non-union,0.6421,EECLASS,lipid_metabolism,depression
Hourly Union,0.7614,EECLASS,lipid_metabolism,depression
Hourly Other,0.5939,EECLASS,lipid_metabolism,depression
Non-union,0.5736,EECLASS,lipid_metabolism,depression
Union,0.7006,EECLASS,lipid_metabolism,depression
Unknown,0.7956,EECLASS,lipid_metabolism,depression
Active Full Time,0.0833,EESTATU,lipid_metabolism,depression
Active Part Time or Seasonal,0.5102,EESTATU,lipid_metabolism,depression
Early Retiree,0.5529,EESTATU,lipid_metabolism,depression
Medicare Eligible Retiree,0.5483,EESTATU,lipid_metabolism,depression
